section,path,expected_type,exists,status,details
A_protected,app_streamlit.py,file,True,PASS,
A_protected,.streamlit/config.toml,file,True,PASS,
A_protected,hybrid_search.py,file,True,PASS,
A_protected,kg_runtime.py,file,True,PASS,
A_protected,vector_search.py,file,True,PASS,
A_protected,run_core_baselines.py,file,True,PASS,
A_protected,data/ontology/taxon_enriched_facts_v2.owl,file,True,PASS,
A_protected,data/metadata/document_metadata_cleaned.xlsx,file,True,PASS,
A_protected,data/eval/final_query_set_core.csv,file,True,PASS,
A_protected,data/eval/relevance_judgments_core.csv,file,True,PASS,
A_protected,data/eval/metrics/baseline_metrics_summary.csv,file,True,PASS,
A_protected,data/eval/metrics/baseline_metrics_by_group.csv,file,True,PASS,
A_protected,data/eval/metrics/baseline_metrics_per_query.csv,file,True,PASS,
A_protected,data/eval/metrics/baseline_latency_summary.csv,file,True,PASS,
A_protected,data/eval/results/baseline_hybrid_core.csv,file,True,PASS,
A_protected,data/eval/results/baseline_vector_metadata_core.csv,file,True,PASS,
A_protected,vector_store/chunks.index,file,True,PASS,
A_protected,vector_store/chunks_meta.pkl,file,True,PASS,
A_protected,vector_store/config.pkl,file,True,PASS,
B_new_submission,experiments/run_hybrid_candidate_fusion.py,file,True,PASS,
B_new_submission,experiments/run_extended_evaluation.py,file,True,PASS,
B_new_submission,experiments/compute_baseline_metrics_plus.py,file,True,PASS,
B_new_submission,experiments/analyze_kg_score_components.py,file,True,PASS,
B_new_submission,experiments/run_kg_ablation.py,file,True,PASS,
B_new_submission,experiments/generate_query_expansion_examples.py,file,True,PASS,
B_new_submission,data/eval/final_query_set_extended.csv,file,True,PASS,
B_new_submission,data/eval/relevance_judgments_extended.csv,file,True,PASS,
B_new_submission,data/eval/results/baseline_hybrid_candidate_fusion_core.csv,file,True,PASS,
B_new_submission,data/eval/results/kg_ablation_results_core.csv,file,True,PASS,
B_new_submission,data/eval/metrics/hybrid_candidate_fusion_metrics_summary.csv,file,True,PASS,
B_new_submission,data/eval/metrics/baseline_metrics_summary_extended.csv,file,True,PASS,
B_new_submission,data/eval/metrics/baseline_metrics_summary_plus.csv,file,True,PASS,
B_new_submission,data/eval/metrics/kg_ablation_metrics_summary.csv,file,True,PASS,
B_new_submission,outputs/hybrid_candidate_fusion_analysis.md,file,True,PASS,
B_new_submission,outputs/extended_query_evaluation_report.md,file,True,PASS,
B_new_submission,outputs/extended_query_judgment_audit.md,file,True,PASS,
B_new_submission,outputs/baseline_metrics_plus_report.md,file,True,PASS,
B_new_submission,outputs/kg_score_component_analysis.md,file,True,PASS,
B_new_submission,outputs/kg_ablation_analysis.md,file,True,PASS,
B_new_submission,outputs/query_expansion_design.md,file,True,PASS,
B_new_submission,outputs/query_expansion_examples.csv,file,True,PASS,
C_final_figures,outputs/figures/fig_baseline_key_metrics.png,file,True,PASS,
C_final_figures,outputs/figures/fig_quality_latency_tradeoff.png,file,True,PASS,
C_final_figures,outputs/figures/fig_hybrid_vs_vector_metadata_by_group.png,file,True,PASS,
C_final_figures,outputs/figures/fig_ablation_key_metrics.png,file,True,PASS,
C_final_figures,outputs/figures/fig_kg_runtime_contribution_summary.png,file,True,PASS,
C_final_figures,outputs/figures/fig_kg_ablation_summary.png,file,True,PASS,
C_final_figures,outputs/figures/fig_candidate_fusion_summary.png,file,True,PASS,
C_final_figures,outputs/figures/fig_extended_evaluation_summary.png,file,True,PASS,
D_supporting_figures,outputs/figures/fig_query_expansion_examples.png,file,True,PASS,
D_supporting_figures,outputs/figures/fig_kg_score_components.png,file,True,PASS,
E_archive_confirmation,archive_pre_final,dir,True,PASS,
E_archive_confirmation,archive_pre_final/old_candidate_fusion_v1/run_candidate_fusion_experiment.py,file,True,PASS,
E_archive_confirmation,archive_pre_final/old_semantic_patch/semantic_patch_final_assessment.md,file,True,PASS,
E_archive_confirmation,archive_pre_final/old_semantic_patch/taxon_enriched_facts_v2_backfilled_runtime.owl,file,True,PASS,
E_archive_confirmation,archive_pre_final/old_figures/fig_hybrid_vector_metadata_delta_by_group.png,file,True,PASS,
E_archive_confirmation,archive_pre_final/vector_store_backups,dir,True,PASS,
F_py_compile,app_streamlit.py,file,True,PASS,py_compile.compile passed; bytecode target was outside workspace to avoid __pycache__ regeneration.
F_py_compile,hybrid_search.py,file,True,PASS,py_compile.compile passed; bytecode target was outside workspace to avoid __pycache__ regeneration.
F_py_compile,kg_runtime.py,file,True,PASS,py_compile.compile passed; bytecode target was outside workspace to avoid __pycache__ regeneration.
F_py_compile,vector_search.py,file,True,PASS,py_compile.compile passed; bytecode target was outside workspace to avoid __pycache__ regeneration.
F_py_compile,run_core_baselines.py,file,True,PASS,py_compile.compile passed; bytecode target was outside workspace to avoid __pycache__ regeneration.
